"StockPrice.Date","StockPrice...j."
"3/1/2011",0.757
"4/1/2011",0.766
"5/1/2011",0.757
"6/1/2011",0.762
"7/1/2011",0.747
"10/1/2011",0.742
"11/1/2011",0.766
"12/1/2011",0.737
"13/1/2011",0.732
"14/1/2011",0.752
"17/1/2011",0.737
"18/1/2011",0.737
"19/1/2011",0.732
"20/1/2011",0.732
"21/1/2011",0.722
"24/1/2011",0.727
"25/1/2011",0.717
"26/1/2011",0.698
"27/1/2011",0.703
"28/1/2011",0.737
"31/1/2011",0.732
"1/2/2011",0.717
"2/2/2011",0.727
"3/2/2011",0.727
"4/2/2011",0.727
"7/2/2011",0.688
"8/2/2011",0.693
"9/2/2011",0.717
"10/2/2011",0.712
"11/2/2011",0.737
"14/2/2011",0.762
"15/2/2011",0.752
"16/2/2011",0.757
"17/2/2011",0.757
"18/2/2011",0.752
"21/2/2011",0.752
"22/2/2011",0.737
"23/2/2011",0.737
"24/2/2011",0.737
"25/2/2011",0.737
"28/2/2011",0.727
"1/3/2011",0.712
"2/3/2011",0.707
"3/3/2011",0.707
"4/3/2011",0.693
"7/3/2011",0.712
"8/3/2011",0.712
"9/3/2011",0.722
"10/3/2011",0.712
"11/3/2011",0.707
"14/3/2011",0.678
"15/3/2011",0.698
"16/3/2011",0.703
"17/3/2011",0.698
"18/3/2011",0.722
"21/3/2011",0.727
"22/3/2011",0.717
"23/3/2011",0.693
"24/3/2011",0.683
"25/3/2011",0.678
"28/3/2011",0.688
"29/3/2011",0.688
"30/3/2011",0.688
"31/3/2011",0.683
"1/4/2011",0.698
"4/4/2011",0.688
"5/4/2011",0.688
"6/4/2011",0.683
"7/4/2011",0.693
"8/4/2011",0.678
"11/4/2011",0.688
"12/4/2011",0.688
"13/4/2011",0.683
"14/4/2011",0.688
"15/4/2011",0.688
"18/4/2011",0.658
"19/4/2011",0.639
"20/4/2011",0.653
"21/4/2011",0.678
"22/4/2011",0.678
"25/4/2011",0.678
"26/4/2011",0.673
"27/4/2011",0.663
"28/4/2011",0.658
"29/4/2011",0.673
"2/5/2011",0.673
"3/5/2011",0.649
"4/5/2011",0.634
"5/5/2011",0.644
"6/5/2011",0.644
"9/5/2011",0.653
"10/5/2011",0.653
"11/5/2011",0.663
"12/5/2011",0.683
"13/5/2011",0.688
"16/5/2011",0.673
"17/5/2011",0.663
"18/5/2011",0.639
"19/5/2011",0.619
"20/5/2011",0.619
"23/5/2011",0.663
"24/5/2011",0.683
"25/5/2011",0.658
"26/5/2011",0.629
"27/5/2011",0.629
"30/5/2011",0.639
"31/5/2011",0.649
"1/6/2011",0.649
"2/6/2011",0.634
"3/6/2011",0.653
"6/6/2011",0.653
"7/6/2011",0.614
"8/6/2011",0.585
"9/6/2011",0.609
"10/6/2011",0.57
"13/6/2011",0.57
"14/6/2011",0.58
"15/6/2011",0.58
"16/6/2011",0.555
"17/6/2011",0.536
"20/6/2011",0.501
"21/6/2011",0.511
"22/6/2011",0.511
"23/6/2011",0.521
"24/6/2011",0.531
"27/6/2011",0.54
"28/6/2011",0.516
"29/6/2011",0.54
"30/6/2011",0.536
"1/7/2011",0.536
"4/7/2011",0.531
"5/7/2011",0.496
"6/7/2011",0.531
"7/7/2011",0.501
"8/7/2011",0.521
"11/7/2011",0.491
"12/7/2011",0.467
"13/7/2011",0.467
"14/7/2011",0.467
"15/7/2011",0.467
"18/7/2011",0.423
"19/7/2011",0.481
"20/7/2011",0.467
"21/7/2011",0.467
"22/7/2011",0.462
"25/7/2011",0.442
"26/7/2011",0.442
"27/7/2011",0.442
"28/7/2011",0.457
"29/7/2011",0.457
"1/8/2011",0.442
"2/8/2011",0.418
"3/8/2011",0.418
"4/8/2011",0.427
"5/8/2011",0.378
"8/8/2011",0.378
"9/8/2011",0.364
"10/8/2011",0.324
"11/8/2011",0.319
"12/8/2011",0.305
"15/8/2011",0.305
"16/8/2011",0.334
"17/8/2011",0.319
"18/8/2011",0.329
"19/8/2011",0.319
"22/8/2011",0.305
"23/8/2011",0.31
"24/8/2011",0.295
"25/8/2011",0.3
"26/8/2011",0.305
"29/8/2011",0.31
"30/8/2011",0.324
"31/8/2011",0.334
"1/9/2011",0.354
"2/9/2011",0.354
"5/9/2011",0.349
"6/9/2011",0.349
"7/9/2011",0.368
"8/9/2011",0.393
"9/9/2011",0.393
"12/9/2011",0.349
"13/9/2011",0.349
"14/9/2011",0.354
"15/9/2011",0.378
"16/9/2011",0.393
"19/9/2011",0.368
"20/9/2011",0.398
"21/9/2011",0.413
"22/9/2011",0.378
"23/9/2011",0.368
"26/9/2011",0.354
"27/9/2011",0.368
"28/9/2011",0.368
"29/9/2011",0.368
"30/9/2011",0.368
"3/10/2011",0.393
"4/10/2011",0.329
"5/10/2011",0.329
"6/10/2011",0.368
"7/10/2011",0.368
"10/10/2011",0.393
"11/10/2011",0.368
"12/10/2011",0.368
"13/10/2011",0.393
"14/10/2011",0.393
"17/10/2011",0.437
"18/10/2011",0.393
"19/10/2011",0.393
"20/10/2011",0.432
"21/10/2011",0.418
"24/10/2011",0.423
"25/10/2011",0.423
"26/10/2011",0.383
"27/10/2011",0.423
"28/10/2011",0.423
"31/10/2011",0.57
"1/11/2011",0.56
"2/11/2011",0.59
"3/11/2011",0.585
"4/11/2011",0.649
"7/11/2011",0.663
"8/11/2011",0.639
"9/11/2011",0.663
"10/11/2011",0.624
"11/11/2011",0.634
"14/11/2011",0.634
"15/11/2011",0.634
"16/11/2011",0.604
"17/11/2011",0.604
"18/11/2011",0.629
"21/11/2011",0.614
"22/11/2011",0.653
"23/11/2011",0.663
"24/11/2011",0.658
"25/11/2011",0.639
"28/11/2011",0.629
"29/11/2011",0.649
"30/11/2011",0.639
"1/12/2011",0.639
"2/12/2011",0.644
"5/12/2011",0.644
"6/12/2011",0.644
"7/12/2011",0.614
"8/12/2011",0.619
"9/12/2011",0.614
"12/12/2011",0.604
"13/12/2011",0.614
"14/12/2011",0.585
"15/12/2011",0.565
"16/12/2011",0.55
"19/12/2011",0.59
"20/12/2011",0.565
"21/12/2011",0.56
"22/12/2011",0.56
"23/12/2011",0.516
"26/12/2011",0.516
"27/12/2011",0.516
"28/12/2011",0.609
"29/12/2011",0.59
"30/12/2011",0.59
"2/1/2012",0.59
"3/1/2012",0.604
"4/1/2012",0.604
"5/1/2012",0.565
"6/1/2012",0.565
"9/1/2012",0.565
"10/1/2012",0.531
"11/1/2012",0.531
"12/1/2012",0.54
"13/1/2012",0.526
"16/1/2012",0.55
"17/1/2012",0.531
"18/1/2012",0.531
"19/1/2012",0.54
"20/1/2012",0.536
"23/1/2012",0.536
"24/1/2012",0.536
"25/1/2012",0.536
"26/1/2012",0.575
"27/1/2012",0.54
"30/1/2012",0.54
"31/1/2012",0.54
"1/2/2012",0.521
"2/2/2012",0.54
"3/2/2012",0.521
"6/2/2012",0.58
"7/2/2012",0.57
"8/2/2012",0.58
"9/2/2012",0.545
"10/2/2012",0.585
"13/2/2012",0.54
"14/2/2012",0.545
"15/2/2012",0.531
"16/2/2012",0.565
"17/2/2012",0.57
"20/2/2012",0.57
"21/2/2012",0.565
"22/2/2012",0.531
"23/2/2012",0.619
"24/2/2012",0.59
"27/2/2012",0.599
"28/2/2012",0.624
"29/2/2012",0.649
"1/3/2012",0.619
"2/3/2012",0.604
"5/3/2012",0.619
"6/3/2012",0.59
"7/3/2012",0.59
"8/3/2012",0.59
"9/3/2012",0.58
"12/3/2012",0.575
"13/3/2012",0.585
"14/3/2012",0.58
"15/3/2012",0.575
"16/3/2012",0.594
"19/3/2012",0.58
"20/3/2012",0.575
"21/3/2012",0.575
"22/3/2012",0.55
