"StockPrice.Date","StockPrice...j."
"3/1/2011",0.19
"4/1/2011",0.195
"5/1/2011",0.194
"6/1/2011",0.194
"7/1/2011",0.175
"10/1/2011",0.196
"11/1/2011",0.21
"12/1/2011",0.203
"13/1/2011",0.184
"14/1/2011",0.195
"17/1/2011",0.188
"18/1/2011",0.18
"19/1/2011",0.18
"20/1/2011",0.196
"21/1/2011",0.185
"24/1/2011",0.182
"25/1/2011",0.188
"26/1/2011",0.187
"27/1/2011",0.179
"28/1/2011",0.175
"31/1/2011",0.162
"1/2/2011",0.162
"2/2/2011",0.176
"3/2/2011",0.176
"4/2/2011",0.176
"7/2/2011",0.165
"8/2/2011",0.155
"9/2/2011",0.166
"10/2/2011",0.155
"11/2/2011",0.163
"14/2/2011",0.172
"15/2/2011",0.162
"16/2/2011",0.165
"17/2/2011",0.175
"18/2/2011",0.15
"21/2/2011",0.16
"22/2/2011",0.159
"23/2/2011",0.158
"24/2/2011",0.155
"25/2/2011",0.151
"28/2/2011",0.157
"1/3/2011",0.155
"2/3/2011",0.154
"3/3/2011",0.154
"4/3/2011",0.14
"7/3/2011",0.146
"8/3/2011",0.143
"9/3/2011",0.142
"10/3/2011",0.142
"11/3/2011",0.142
"14/3/2011",0.135
"15/3/2011",0.135
"16/3/2011",0.14
"17/3/2011",0.139
"18/3/2011",0.138
"21/3/2011",0.138
"22/3/2011",0.138
"23/3/2011",0.144
"24/3/2011",0.136
"25/3/2011",0.136
"28/3/2011",0.137
"29/3/2011",0.137
"30/3/2011",0.128
"31/3/2011",0.128
"1/4/2011",0.13
"4/4/2011",0.13
"5/4/2011",0.13
"6/4/2011",0.131
"7/4/2011",0.135
"8/4/2011",0.143
"11/4/2011",0.14
"12/4/2011",0.14
"13/4/2011",0.146
"14/4/2011",0.14
"15/4/2011",0.135
"18/4/2011",0.14
"19/4/2011",0.136
"20/4/2011",0.135
"21/4/2011",0.141
"22/4/2011",0.141
"25/4/2011",0.141
"26/4/2011",0.138
"27/4/2011",0.135
"28/4/2011",0.132
"29/4/2011",0.132
"2/5/2011",0.132
"3/5/2011",0.137
"4/5/2011",0.136
"5/5/2011",0.135
"6/5/2011",0.145
"9/5/2011",0.135
"10/5/2011",0.135
"11/5/2011",0.149
"12/5/2011",0.155
"13/5/2011",0.15
"16/5/2011",0.15
"17/5/2011",0.15
"18/5/2011",0.148
"19/5/2011",0.149
"20/5/2011",0.149
"23/5/2011",0.149
"24/5/2011",0.149
"25/5/2011",0.149
"26/5/2011",0.148
"27/5/2011",0.148
"30/5/2011",0.144
"31/5/2011",0.148
"1/6/2011",0.148
"2/6/2011",0.148
"3/6/2011",0.148
"6/6/2011",0.148
"7/6/2011",0.148
"8/6/2011",0.145
"9/6/2011",0.132
"10/6/2011",0.145
"13/6/2011",0.142
"14/6/2011",0.142
"15/6/2011",0.141
"16/6/2011",0.138
"17/6/2011",0.138
"20/6/2011",0.134
"21/6/2011",0.135
"22/6/2011",0.135
"23/6/2011",0.134
"24/6/2011",0.13
"27/6/2011",0.13
"28/6/2011",0.135
"29/6/2011",0.12
"30/6/2011",0.12
"1/7/2011",0.12
"4/7/2011",0.123
"5/7/2011",0.124
"6/7/2011",0.125
"7/7/2011",0.128
"8/7/2011",0.132
"11/7/2011",0.132
"12/7/2011",0.126
"13/7/2011",0.124
"14/7/2011",0.113
"15/7/2011",0.113
"18/7/2011",0.113
"19/7/2011",0.113
"20/7/2011",0.113
"21/7/2011",0.113
"22/7/2011",0.12
"25/7/2011",0.121
"26/7/2011",0.122
"27/7/2011",0.124
"28/7/2011",0.121
"29/7/2011",0.124
"1/8/2011",0.124
"2/8/2011",0.119
"3/8/2011",0.112
"4/8/2011",0.112
"5/8/2011",0.095
"8/8/2011",0.084
"9/8/2011",0.081
"10/8/2011",0.09
"11/8/2011",0.099
"12/8/2011",0.099
"15/8/2011",0.085
"16/8/2011",0.095
"17/8/2011",0.095
"18/8/2011",0.094
"19/8/2011",0.082
"22/8/2011",0.078
"23/8/2011",0.084
"24/8/2011",0.08
"25/8/2011",0.07
"26/8/2011",0.072
"29/8/2011",0.087
"30/8/2011",0.09
"31/8/2011",0.088
"1/9/2011",0.088
"2/9/2011",0.087
"5/9/2011",0.076
"6/9/2011",0.076
"7/9/2011",0.076
"8/9/2011",0.076
"9/9/2011",0.074
"12/9/2011",0.074
"13/9/2011",0.074
"14/9/2011",0.083
"15/9/2011",0.076
"16/9/2011",0.076
"19/9/2011",0.076
"20/9/2011",0.07
"21/9/2011",0.07
"22/9/2011",0.077
"23/9/2011",0.068
"26/9/2011",0.059
"27/9/2011",0.06
"28/9/2011",0.06
"29/9/2011",0.06
"30/9/2011",0.057
"3/10/2011",0.05
"4/10/2011",0.049
"5/10/2011",0.049
"6/10/2011",0.049
"7/10/2011",0.06
"10/10/2011",0.06
"11/10/2011",0.068
"12/10/2011",0.068
"13/10/2011",0.068
"14/10/2011",0.071
"17/10/2011",0.072
"18/10/2011",0.072
"19/10/2011",0.07
"20/10/2011",0.064
"21/10/2011",0.07
"24/10/2011",0.075
"25/10/2011",0.075
"26/10/2011",0.072
"27/10/2011",0.088
"28/10/2011",0.085
"31/10/2011",0.09
"1/11/2011",0.09
"2/11/2011",0.09
"3/11/2011",0.09
"4/11/2011",0.09
"7/11/2011",0.09
"8/11/2011",0.09
"9/11/2011",0.09
"10/11/2011",0.09
"11/11/2011",0.08
"14/11/2011",0.08
"15/11/2011",0.08
"16/11/2011",0.08
"17/11/2011",0.079
"18/11/2011",0.079
"21/11/2011",0.079
"22/11/2011",0.077
"23/11/2011",0.077
"24/11/2011",0.077
"25/11/2011",0.077
"28/11/2011",0.081
"29/11/2011",0.08
"30/11/2011",0.08
"1/12/2011",0.08
"2/12/2011",0.08
"5/12/2011",0.08
"6/12/2011",0.08
"7/12/2011",0.08
"8/12/2011",0.08
"9/12/2011",0.08
"12/12/2011",0.08
"13/12/2011",0.09
"14/12/2011",0.075
"15/12/2011",0.081
"16/12/2011",0.081
"19/12/2011",0.081
"20/12/2011",0.088
"21/12/2011",0.078
"22/12/2011",0.078
"23/12/2011",0.078
"26/12/2011",0.078
"27/12/2011",0.078
"28/12/2011",0.078
"29/12/2011",0.078
"30/12/2011",0.078
"2/1/2012",0.078
"3/1/2012",0.078
"4/1/2012",0.08
"5/1/2012",0.08
"6/1/2012",0.08
"9/1/2012",0.07
"10/1/2012",0.07
"11/1/2012",0.066
"12/1/2012",0.068
"13/1/2012",0.078
"16/1/2012",0.09
"17/1/2012",0.078
"18/1/2012",0.075
"19/1/2012",0.085
"20/1/2012",0.085
"23/1/2012",0.085
"24/1/2012",0.085
"25/1/2012",0.085
"26/1/2012",0.085
"27/1/2012",0.085
"30/1/2012",0.085
"31/1/2012",0.085
"1/2/2012",0.08
"2/2/2012",0.08
"3/2/2012",0.09
"6/2/2012",0.085
"7/2/2012",0.088
"8/2/2012",0.095
"9/2/2012",0.1
"10/2/2012",0.095
"13/2/2012",0.087
"14/2/2012",0.087
"15/2/2012",0.087
"16/2/2012",0.087
"17/2/2012",0.087
"20/2/2012",0.09
"21/2/2012",0.098
"22/2/2012",0.095
"23/2/2012",0.1
"24/2/2012",0.113
"27/2/2012",0.1
"28/2/2012",0.108
"29/2/2012",0.102
"1/3/2012",0.093
"2/3/2012",0.098
"5/3/2012",0.1
"6/3/2012",0.091
"7/3/2012",0.091
"8/3/2012",0.085
"9/3/2012",0.092
"12/3/2012",0.091
"13/3/2012",0.091
"14/3/2012",0.092
"15/3/2012",0.085
"16/3/2012",0.084
"19/3/2012",0.084
"20/3/2012",0.084
"21/3/2012",0.092
"22/3/2012",0.09
"23/3/2012",0.088
"26/3/2012",0.091
"27/3/2012",0.09
"28/3/2012",0.09
"29/3/2012",0.09
"30/3/2012",0.095
"2/4/2012",0.095
"3/4/2012",0.089
"4/4/2012",0.089
"5/4/2012",0.089
"6/4/2012",0.089
"9/4/2012",0.089
"10/4/2012",0.089
"11/4/2012",0.092
"12/4/2012",0.092
"13/4/2012",0.09
"16/4/2012",0.091
"17/4/2012",0.09
"18/4/2012",0.089
"19/4/2012",0.075
"20/4/2012",0.082
"23/4/2012",0.082
"24/4/2012",0.082
"25/4/2012",0.082
"26/4/2012",0.089
"27/4/2012",0.08
"30/4/2012",0.08
"1/5/2012",0.08
"2/5/2012",0.081
"3/5/2012",0.083
"4/5/2012",0.083
"7/5/2012",0.081
"8/5/2012",0.081
"9/5/2012",0.084
"10/5/2012",0.08
"11/5/2012",0.08
"14/5/2012",0.079
"15/5/2012",0.078
"16/5/2012",0.084
"17/5/2012",0.084
"18/5/2012",0.084
"21/5/2012",0.084
"22/5/2012",0.088
"23/5/2012",0.093
"24/5/2012",0.09
"25/5/2012",0.08
"28/5/2012",0.08
"29/5/2012",0.08
"30/5/2012",0.087
"31/5/2012",0.087
"1/6/2012",0.087
"4/6/2012",0.087
"5/6/2012",0.087
"6/6/2012",0.087
"7/6/2012",0.09
"8/6/2012",0.098
"11/6/2012",0.098
"12/6/2012",0.09
"13/6/2012",0.09
"14/6/2012",0.092
"15/6/2012",0.092
"18/6/2012",0.092
"19/6/2012",0.092
"20/6/2012",0.095
"21/6/2012",0.1
"22/6/2012",0.09
"25/6/2012",0.089
"26/6/2012",0.089
"27/6/2012",0.092
"28/6/2012",0.089
"29/6/2012",0.088
"2/7/2012",0.088
"3/7/2012",0.088
"4/7/2012",0.09
"5/7/2012",0.089
"6/7/2012",0.09
"9/7/2012",0.09
"10/7/2012",0.089
"11/7/2012",0.086
"12/7/2012",0.086
"13/7/2012",0.09
"16/7/2012",0.09
"17/7/2012",0.09
"18/7/2012",0.09
"19/7/2012",0.095
"20/7/2012",0.093
"23/7/2012",0.099
"24/7/2012",0.099
"25/7/2012",0.098
"26/7/2012",0.098
"27/7/2012",0.1
"30/7/2012",0.1
"31/7/2012",0.105
"1/8/2012",0.1
"2/8/2012",0.11
"3/8/2012",0.113
"6/8/2012",0.124
"7/8/2012",0.123
"8/8/2012",0.124
"9/8/2012",0.127
"10/8/2012",0.117
"13/8/2012",0.127
"14/8/2012",0.125
"15/8/2012",0.125
"16/8/2012",0.128
"17/8/2012",0.133
"20/8/2012",0.13
"21/8/2012",0.134
"22/8/2012",0.124
"23/8/2012",0.125
"24/8/2012",0.125
"27/8/2012",0.126
"28/8/2012",0.125
"29/8/2012",0.125
"30/8/2012",0.125
"31/8/2012",0.125
"3/9/2012",0.125
"4/9/2012",0.125
"5/9/2012",0.125
"6/9/2012",0.125
"7/9/2012",0.125
"10/9/2012",0.125
"11/9/2012",0.125
"12/9/2012",0.125
"13/9/2012",0.125
"14/9/2012",0.125
"17/9/2012",0.125
"18/9/2012",0.126
"19/9/2012",0.125
"20/9/2012",0.126
"21/9/2012",0.125
"24/9/2012",0.125
"25/9/2012",0.125
"26/9/2012",0.125
"27/9/2012",0.126
"28/9/2012",0.128
"1/10/2012",0.128
"2/10/2012",0.128
"3/10/2012",0.151
"4/10/2012",0.151
"5/10/2012",0.163
"8/10/2012",0.169
"9/10/2012",0.17
"10/10/2012",0.17
"11/10/2012",0.17
"12/10/2012",0.17
"15/10/2012",0.17
"16/10/2012",0.17
"17/10/2012",0.17
"18/10/2012",0.17
"19/10/2012",0.17
"22/10/2012",0.17
"23/10/2012",0.17
"24/10/2012",0.19
"25/10/2012",0.191
"26/10/2012",0.193
"29/10/2012",0.198
"30/10/2012",0.209
"31/10/2012",0.21
"1/11/2012",0.203
"2/11/2012",0.196
"5/11/2012",0.186
"6/11/2012",0.176
"7/11/2012",0.186
"8/11/2012",0.19
"9/11/2012",0.19
"12/11/2012",0.19
"13/11/2012",0.188
"14/11/2012",0.185
"15/11/2012",0.18
"16/11/2012",0.175
"19/11/2012",0.17
"20/11/2012",0.17
"21/11/2012",0.17
"22/11/2012",0.17
"23/11/2012",0.17
"26/11/2012",0.16
"27/11/2012",0.17
"28/11/2012",0.17
"29/11/2012",0.17
"30/11/2012",0.17
"3/12/2012",0.168
"4/12/2012",0.168
"5/12/2012",0.165
"6/12/2012",0.165
"7/12/2012",0.164
"10/12/2012",0.175
"11/12/2012",0.17
"12/12/2012",0.17
"13/12/2012",0.17
"14/12/2012",0.165
"17/12/2012",0.155
"18/12/2012",0.164
"19/12/2012",0.168
"20/12/2012",0.148
"21/12/2012",0.143
"24/12/2012",0.14
"25/12/2012",0.14
"26/12/2012",0.14
"27/12/2012",0.138
"28/12/2012",0.138
"31/12/2012",0.15
"1/1/2013",0.15
"2/1/2013",0.15
"3/1/2013",0.152
"4/1/2013",0.157
"7/1/2013",0.157
"8/1/2013",0.15
"9/1/2013",0.14
"10/1/2013",0.146
"11/1/2013",0.148
"14/1/2013",0.14
"15/1/2013",0.131
"16/1/2013",0.131
"17/1/2013",0.144
"18/1/2013",0.131
"21/1/2013",0.131
"22/1/2013",0.131
"23/1/2013",0.131
"24/1/2013",0.131
"25/1/2013",0.131
"28/1/2013",0.131
"29/1/2013",0.131
"30/1/2013",0.122
"31/1/2013",0.126
"1/2/2013",0.13
"4/2/2013",0.128
"5/2/2013",0.128
"6/2/2013",0.117
"7/2/2013",0.117
"8/2/2013",0.117
"11/2/2013",0.117
"12/2/2013",0.117
"13/2/2013",0.117
"14/2/2013",0.117
"15/2/2013",0.117
"18/2/2013",0.117
"19/2/2013",0.117
"20/2/2013",0.124
"21/2/2013",0.124
"22/2/2013",0.124
"25/2/2013",0.13
"26/2/2013",0.139
"27/2/2013",0.138
"28/2/2013",0.138
"1/3/2013",0.138
"4/3/2013",0.138
"5/3/2013",0.138
"6/3/2013",0.138
"7/3/2013",0.138
"8/3/2013",0.138
"11/3/2013",0.138
"12/3/2013",0.138
"13/3/2013",0.138
"14/3/2013",0.138
"15/3/2013",0.138
"18/3/2013",0.123
"19/3/2013",0.123
"20/3/2013",0.132
"21/3/2013",0.132
"22/3/2013",0.132
"25/3/2013",0.132
"26/3/2013",0.132
"27/3/2013",0.132
"28/3/2013",0.132
"29/3/2013",0.132
"1/4/2013",0.132
"2/4/2013",0.132
"3/4/2013",0.132
"4/4/2013",0.132
"5/4/2013",0.132
"8/4/2013",0.132
"9/4/2013",0.132
"10/4/2013",0.132
"11/4/2013",0.135
"12/4/2013",0.135
"15/4/2013",0.117
"16/4/2013",0.125
"17/4/2013",0.132
"18/4/2013",0.142
"19/4/2013",0.14
"22/4/2013",0.136
"23/4/2013",0.129
"24/4/2013",0.143
"25/4/2013",0.15
"26/4/2013",0.148
"29/4/2013",0.142
"30/4/2013",0.138
"1/5/2013",0.138
"2/5/2013",0.142
"3/5/2013",0.145
"6/5/2013",0.145
"7/5/2013",0.145
"8/5/2013",0.147
"9/5/2013",0.146
"10/5/2013",0.147
"13/5/2013",0.147
"14/5/2013",0.147
"15/5/2013",0.162
"16/5/2013",0.16
"17/5/2013",0.16
