"StockPrice.Date","StockPrice...j."
"3/1/2011",5.126
"4/1/2011",5.182
"5/1/2011",5.194
"6/1/2011",5.188
"7/1/2011",5.177
"10/1/2011",5.317
"11/1/2011",5.351
"12/1/2011",5.16
"13/1/2011",5.329
"14/1/2011",5.194
"17/1/2011",4.969
"18/1/2011",4.913
"19/1/2011",5.076
"20/1/2011",4.907
"21/1/2011",4.862
"24/1/2011",4.716
"25/1/2011",4.671
"26/1/2011",4.665
"27/1/2011",4.738
"28/1/2011",4.66
"31/1/2011",4.677
"1/2/2011",4.952
"2/2/2011",5.025
"3/2/2011",5.025
"4/2/2011",5.025
"7/2/2011",4.924
"8/2/2011",4.991
"9/2/2011",4.913
"10/2/2011",4.733
"11/2/2011",4.547
"14/2/2011",4.66
"15/2/2011",4.677
"16/2/2011",4.705
"17/2/2011",4.705
"18/2/2011",4.778
"21/2/2011",4.851
"22/2/2011",4.604
"23/2/2011",4.587
"24/2/2011",4.429
"25/2/2011",4.502
"28/2/2011",4.592
"1/3/2011",4.693
"2/3/2011",4.564
"3/3/2011",4.575
"4/3/2011",4.609
"7/3/2011",4.767
"8/3/2011",4.991
"9/3/2011",5.059
"10/3/2011",5.059
"11/3/2011",4.851
"14/3/2011",4.918
"15/3/2011",4.828
"16/3/2011",5.115
"17/3/2011",5.16
"18/3/2011",5.182
"21/3/2011",5.121
"22/3/2011",5.104
"23/3/2011",5.227
"24/3/2011",5.216
"25/3/2011",4.868
"28/3/2011",4.907
"29/3/2011",5.098
"30/3/2011",5.227
"31/3/2011",5.121
"1/4/2011",5.306
"4/4/2011",5.351
"5/4/2011",5.351
"6/4/2011",5.25
"7/4/2011",5.177
"8/4/2011",5.182
"11/4/2011",5.256
"12/4/2011",5.239
"13/4/2011",5.16
"14/4/2011",5.199
"15/4/2011",5.514
"18/4/2011",5.424
"19/4/2011",5.379
"20/4/2011",5.48
"21/4/2011",5.514
"22/4/2011",5.514
"25/4/2011",5.514
"26/4/2011",5.435
"27/4/2011",5.48
"28/4/2011",5.52
"29/4/2011",5.447
"2/5/2011",5.447
"3/5/2011",5.447
"4/5/2011",5.323
"5/5/2011",5.239
"6/5/2011",5.272
"9/5/2011",5.508
"10/5/2011",5.508
"11/5/2011",5.531
"12/5/2011",5.486
"13/5/2011",5.48
"16/5/2011",5.441
"17/5/2011",5.368
"18/5/2011",5.284
"19/5/2011",5.278
"20/5/2011",5.166
"23/5/2011",5.141
"24/5/2011",5.172
"25/5/2011",5.129
"26/5/2011",5.216
"27/5/2011",5.178
"30/5/2011",5.228
"31/5/2011",5.352
"1/6/2011",5.458
"2/6/2011",5.414
"3/6/2011",5.644
"6/6/2011",5.644
"7/6/2011",5.601
"8/6/2011",5.545
"9/6/2011",5.278
"10/6/2011",5.371
"13/6/2011",5.296
"14/6/2011",5.296
"15/6/2011",5.365
"16/6/2011",5.216
"17/6/2011",5.116
"20/6/2011",4.986
"21/6/2011",5.141
"22/6/2011",5.166
"23/6/2011",5.067
"24/6/2011",5.129
"27/6/2011",5.116
"28/6/2011",5.054
"29/6/2011",5.029
"30/6/2011",5.092
"1/7/2011",5.092
"4/7/2011",5.203
"5/7/2011",5.154
"6/7/2011",5.135
"7/7/2011",5.116
"8/7/2011",5.172
"11/7/2011",5.029
"12/7/2011",4.905
"13/7/2011",4.688
"14/7/2011",4.787
"15/7/2011",4.613
"18/7/2011",4.483
"19/7/2011",4.16
"20/7/2011",4.495
"21/7/2011",4.328
"22/7/2011",4.626
"25/7/2011",4.483
"26/7/2011",4.613
"27/7/2011",4.62
"28/7/2011",4.464
"29/7/2011",4.446
"1/8/2011",4.173
"2/8/2011",3.899
"3/8/2011",3.887
"4/8/2011",3.862
"5/8/2011",3.676
"8/8/2011",3.446
"9/8/2011",3.192
"10/8/2011",3.254
"11/8/2011",3.179
"12/8/2011",3.266
"15/8/2011",3.31
"16/8/2011",3.421
"17/8/2011",3.471
"18/8/2011",3.527
"19/8/2011",3.278
"22/8/2011",3.185
"23/8/2011",3.266
"24/8/2011",3.204
"25/8/2011",3.694
"26/8/2011",3.788
"29/8/2011",3.875
"30/8/2011",3.912
"31/8/2011",4.129
"1/9/2011",4.036
"2/9/2011",3.837
"5/9/2011",3.595
"6/9/2011",3.707
"7/9/2011",3.831
"8/9/2011",3.862
"9/9/2011",3.943
"12/9/2011",3.701
"13/9/2011",3.701
"14/9/2011",3.583
"15/9/2011",3.688
"16/9/2011",3.999
"19/9/2011",3.924
"20/9/2011",3.955
"21/9/2011",3.986
"22/9/2011",3.8
"23/9/2011",3.881
"26/9/2011",3.62
"27/9/2011",3.781
"28/9/2011",3.75
"29/9/2011",3.75
"30/9/2011",3.577
"3/10/2011",3.173
"4/10/2011",3.061
"5/10/2011",3.061
"6/10/2011",3.272
