"StockPrice.Date","StockPrice...j."
"3/1/2011",5.747
"4/1/2011",5.68
"5/1/2011",5.882
"6/1/2011",5.612
"7/1/2011",5.612
"10/1/2011",5.544
"11/1/2011",5.612
"12/1/2011",5.274
"13/1/2011",5.544
"14/1/2011",5.341
"17/1/2011",5.409
"18/1/2011",5.274
"19/1/2011",5.544
"20/1/2011",5.477
"21/1/2011",5.274
"24/1/2011",5.341
"25/1/2011",5.003
"26/1/2011",5.071
"27/1/2011",5.274
"28/1/2011",5.341
"31/1/2011",5.139
"1/2/2011",5.003
"2/2/2011",5.071
"3/2/2011",5.071
"4/2/2011",5.071
"7/2/2011",5.003
"8/2/2011",5.003
"9/2/2011",4.936
"10/2/2011",5.003
"11/2/2011",4.733
"14/2/2011",4.733
"15/2/2011",4.936
"16/2/2011",5.003
"17/2/2011",4.936
"18/2/2011",4.868
"21/2/2011",4.868
"22/2/2011",4.53
"23/2/2011",4.395
"24/2/2011",4.395
"25/2/2011",4.327
"28/2/2011",4.26
"1/3/2011",4.26
"2/3/2011",4.26
"3/3/2011",4.26
"4/3/2011",4.868
"7/3/2011",5.274
"8/3/2011",5.003
"9/3/2011",5.206
"10/3/2011",5.274
"11/3/2011",5.071
"14/3/2011",4.868
"15/3/2011",4.598
"16/3/2011",4.665
"17/3/2011",5.544
"18/3/2011",5.139
"21/3/2011",5.139
"22/3/2011",5.409
"23/3/2011",5.274
"24/3/2011",5.274
"25/3/2011",5.139
"28/3/2011",5.003
"29/3/2011",5.003
"30/3/2011",5.206
"31/3/2011",5.206
"1/4/2011",5.409
"4/4/2011",5.341
"5/4/2011",5.341
"6/4/2011",5.071
"7/4/2011",4.801
"8/4/2011",4.801
"11/4/2011",4.801
"12/4/2011",4.801
"13/4/2011",4.868
"14/4/2011",4.868
"15/4/2011",4.733
"18/4/2011",5.274
"19/4/2011",5.409
"20/4/2011",5.139
"21/4/2011",5.206
"22/4/2011",5.206
"25/4/2011",5.206
"26/4/2011",5.071
"27/4/2011",4.733
"28/4/2011",4.801
"29/4/2011",4.665
"2/5/2011",4.665
"3/5/2011",4.733
"4/5/2011",4.665
"5/5/2011",4.665
"6/5/2011",4.733
"9/5/2011",4.868
"10/5/2011",4.868
"11/5/2011",4.936
"12/5/2011",4.868
"13/5/2011",4.868
"16/5/2011",4.733
"17/5/2011",4.53
"18/5/2011",4.733
"19/5/2011",4.733
"20/5/2011",4.665
"23/5/2011",5.071
