Date,8256 HK Equity,,8106 HK Equity,,1155 HK Equity,,524 HK Equity,,1202 HK Equity,,1085 HK Equity,,471 HK Equity,,138 HK Equity,,8005 HK Equity,,8227 HK Equity,,8167 HK Equity,,2342 HK Equity,,877 HK Equity,,989 HK Equity,,1883 HK Equity,,215 HK Equity,,552 HK Equity,,8 HK Equity,,763 HK Equity,,762 HK Equity,,728 HK Equity,,941 HK Equity
3/1/2011,0.19,,0.29,,1.81,,0.5,,1.41,,2.03,,5.747,,0.956,,0.6,,0.3,,0.555,,5.126,,5.49,,0.757,,2.25,,2.45,,4.624,,3.203,,22.153,,11.22,,4.12,,77.7
4/1/2011,0.195,,0.29,,1.83,,0.49,,1.43,,2.05,,5.68,,0.974,,0.63,,0.3,,0.538,,5.182,,5.47,,0.766,,2.268,,2.43,,4.722,,3.23,,22.222,,11.26,,4.11,,77.75
5/1/2011,0.194,,0.35,,1.83,,0.5,,1.46,,2.07,,5.882,,0.974,,0.62,,0.305,,0.538,,5.194,,5.38,,0.757,,2.368,,2.38,,4.722,,3.184,,22.118,,11.24,,4.08,,77.3
6/1/2011,0.194,,0.305,,1.82,,0.5,,1.61,,2.06,,5.612,,0.992,,0.57,,0.305,,0.538,,5.188,,5.37,,0.762,,2.522,,2.4,,4.673,,3.23,,21.736,,11.12,,4.17,,77.45
7/1/2011,0.175,,0.32,,1.82,,0.65,,1.52,,2.06,,5.612,,1.01,,0.57,,0.295,,0.533,,5.177,,5.4,,0.747,,2.423,,2.39,,4.683,,3.443,,21.632,,11.16,,4.12,,77
10/1/2011,0.196,,0.32,,1.84,,0.68,,1.5,,2.12,,5.544,,0.956,,0.56,,0.295,,0.516,,5.317,,5.36,,0.742,,2.332,,2.38,,4.644,,3.295,,21.563,,11.04,,4.14,,76.45
11/1/2011,0.21,,0.32,,1.82,,0.67,,1.51,,2.18,,5.612,,0.974,,0.58,,0.29,,0.52,,5.351,,5.36,,0.766,,2.305,,2.59,,4.751,,3.452,,21.632,,11.02,,4.31,,76.9
12/1/2011,0.203,,0.33,,1.83,,0.66,,1.57,,2.13,,5.274,,0.956,,0.58,,0.3,,0.503,,5.16,,5.38,,0.737,,2.305,,2.54,,4.781,,3.452,,21.84,,11.22,,4.52,,78.3
13/1/2011,0.184,,0.32,,1.88,,0.66,,1.55,,2.08,,5.544,,0.992,,0.58,,0.29,,0.503,,5.329,,5.26,,0.732,,2.295,,2.52,,4.761,,3.313,,21.875,,11.5,,4.39,,78.1
14/1/2011,0.195,,0.32,,1.88,,0.68,,1.53,,2.08,,5.341,,0.992,,0.59,,0.29,,0.49,,5.194,,5.19,,0.752,,2.25,,2.52,,4.712,,3.249,,21.806,,11.56,,4.31,,77.85
17/1/2011,0.188,,0.335,,1.87,,0.83,,1.52,,2.13,,5.409,,0.947,,0.59,,0.29,,0.472,,4.969,,5.1,,0.737,,2.25,,2.66,,4.449,,3.304,,21.389,,11.66,,4.29,,77.6
18/1/2011,0.18,,0.32,,1.87,,0.76,,1.49,,2.11,,5.274,,0.965,,0.59,,0.29,,0.481,,4.913,,4.79,,0.737,,2.268,,2.7,,4.556,,3.258,,21.25,,11.56,,4.49,,76.85
19/1/2011,0.18,,0.33,,1.87,,0.76,,1.53,,2.12,,5.544,,0.974,,0.58,,0.29,,0.485,,5.076,,4.86,,0.732,,2.277,,2.72,,4.615,,3.258,,21.25,,11.94,,4.69,,78.85
20/1/2011,0.196,,0.325,,1.84,,0.8,,1.51,,2.09,,5.477,,0.947,,0.58,,0.29,,0.481,,4.907,,4.92,,0.732,,2.25,,2.67,,4.624,,3.129,,20.799,,12.06,,4.54,,77.3
21/1/2011,0.185,,0.325,,1.84,,0.85,,1.49,,2.14,,5.274,,0.947,,0.56,,0.3,,0.485,,4.862,,4.68,,0.722,,2.25,,2.66,,4.605,,3.193,,20.59,,12.34,,4.56,,77.45
24/1/2011,0.182,,0.325,,1.82,,0.84,,1.5,,2.19,,5.341,,0.974,,0.58,,0.27,,0.459,,4.716,,4.38,,0.727,,2.232,,2.59,,4.683,,3.138,,20.278,,12.26,,4.52,,77.05
25/1/2011,0.188,,0.335,,1.81,,0.84,,1.52,,2.09,,5.003,,0.974,,0.56,,0.27,,0.446,,4.671,,4.64,,0.717,,2.241,,2.67,,4.693,,3.147,,20.521,,12.22,,4.47,,76.9
26/1/2011,0.187,,0.33,,1.79,,0.85,,1.5,,2.12,,5.071,,0.992,,0.57,,0.275,,0.398,,4.665,,4.62,,0.698,,2.196,,2.62,,4.654,,3.147,,20.625,,12.5,,4.5,,76.3
27/1/2011,0.179,,0.335,,1.81,,0.82,,1.51,,2.13,,5.274,,0.992,,0.56,,0.275,,0.433,,4.738,,4.8,,0.703,,2.187,,2.62,,4.702,,3.175,,20.382,,12.86,,4.7,,77
28/1/2011,0.175,,0.335,,1.81,,0.7,,1.49,,2.14,,5.341,,0.992,,0.55,,0.275,,0.433,,4.66,,4.75,,0.737,,2.214,,2.68,,4.673,,3.341,,20.868,,13,,4.7,,77.25
31/1/2011,0.162,,0.33,,1.82,,0.69,,1.5,,2.14,,5.139,,0.974,,0.55,,0.29,,0.424,,4.677,,4.73,,0.732,,2.205,,2.65,,4.654,,3.397,,21.354,,12.88,,4.64,,76.6
1/2/2011,0.162,,0.34,,1.83,,0.67,,1.48,,2.18,,5.003,,0.974,,0.57,,0.29,,0.45,,4.952,,4.88,,0.717,,2.223,,2.67,,4.654,,3.378,,21.354,,12.96,,4.54,,77.2
