"","x"
"X1","0.088506016"
"X2","0.096137059"
"X3","0.098118954"
"X4","0.092022150"
"X5","0.068942087"
"X6","0.082667459"
"X7","0.107723656"
"X8","0.105028493"
"X9","0.076196621"
"X10","0.097868045"
"X11","0.100450219"
"X12","0.091591792"
"X13","0.095423451"
"X14","0.127760580"
"X15","0.113115553"
"X16","0.112313412"
"X17","0.138480579"
"X18","0.149539749"
"X19","0.142366592"
"X20","0.150720060"
"X21","0.128817182"
"X22","0.131718308"
"X23","0.154030459"
"X24","0.167133872"
"X25","0.18223978"
"X26","0.160940702"
"X27","0.14167138"
"X28","0.166460940"
"X29","0.143442914"
