"","x"
"X1","0.049783797"
"X2","0.049783797"
"X3","0.049801585"
"X4","0.049849874"
"X5","0.050054365"
"X6","0.050054365"
"X7","0.050106616"
"X8","0.050021536"
"X9","0.050049784"
"X10","0.050237386"
"X11","0.050407780"
"X12","0.050196193"
"X13","0.05022845"
"X14","0.050258132"
"X15","0.050146135"
"X16","0.050146135"
"X17","0.049961253"
"X18","0.049618931"
"X19","0.049593179"
"X20","0.04941318"
"X21","0.04949201"
"X22","0.049431595"
"X23","0.048908086"
"X24","0.04883834"
"X25","0.04816780"
"X26","0.048164749"
"X27","0.048137306"
"X28","0.04813731"
"X29","0.047814876"
"X30","0.047621920"
"X31","0.047400627"
"X32","0.04740748"
"X33","0.047443038"
"X34","0.047088570"
"X35","0.047090903"
"X36","0.046872098"
"X37","0.046879685"
"X38","0.046878337"
"X39","0.046869062"
"X40","0.046864323"
"X41","0.046736907"
"X42","0.046852535"
"X43","0.046808475"
"X44","0.046830209"
"X45","0.046700697"
"X46","0.046517866"
"X47","0.046150332"
"X48","0.046082766"
"X49","0.046077338"
"X50","0.046144632"
"X51","0.046163306"
"X52","0.046143853"
"X53","0.046166052"
"X54","0.046160662"
"X55","0.046112811"
"X56","0.046121921"
"X57","0.046055737"
"X58","0.046193656"
"X59","0.046250291"
"X60","0.046250765"
"X61","0.046355855"
"X62","0.046352204"
"X63","0.046323961"
"X64","0.046399662"
"X65","0.046396836"
"X66","0.046447776"
"X67","0.046261002"
"X68","0.046263765"
"X69","0.04624404"
"X70","0.046280590"
"X71","0.046383590"
"X72","0.046349790"
"X73","0.046332358"
"X74","0.046173069"
"X75","0.046089953"
"X76","0.046089953"
"X77","0.046107523"
"X78","0.046110580"
"X79","0.046077991"
"X80","0.046078339"
"X81","0.046075749"
"X82","0.046062893"
"X83","0.046616304"
"X84","0.046590598"
"X85","0.04649215"
"X86","0.046680547"
"X87","0.046674732"
"X88","0.046547971"
"X89","0.046207461"
"X90","0.046207461"
"X91","0.04652119"
"X92","0.046605128"
"X93","0.046373669"
"X94","0.046340904"
"X95","0.046344041"
"X96","0.046264136"
"X97","0.046289127"
"X98","0.04603109"
"X99","0.04597471"
"X100","0.04599564"
"X101","0.04598053"
"X102","0.04598153"
"X103","0.04601199"
"X104","0.04600681"
"X105","0.04600759"
"X106","0.04598421"
"X107","0.04598521"
"X108","0.04598241"
"X109","0.04598485"
"X110","0.04599183"
"X111","0.04600304"
"X112","0.04603514"
"X113","0.0460283"
"X114","0.04597110"
"X115","0.04595630"
"X116","0.04594305"
"X117","0.04594305"
"X118","0.04581521"
"X119","0.04562782"
"X120","0.04554849"
"X121","0.04552001"
"X122","0.04523072"
"X123","0.04531269"
"X124","0.04536303"
"X125","0.04535791"
"X126","0.04540954"
"X127","0.04544211"
"X128","0.04546184"
"X129","0.04557926"
"X130","0.04626363"
"X131","0.04628951"
"X132","0.04630668"
"X133","0.04628576"
"X134","0.04569125"
"X135","0.04558749"
"X136","0.04558011"
"X137","0.04551325"
"X138","0.04550624"
"X139","0.04550214"
"X140","0.04551755"
"X141","0.04547016"
"X142","0.04548504"
"X143","0.04562561"
"X144","0.04537676"
"X145","0.04547829"
"X146","0.04549135"
"X147","0.04549304"
"X148","0.04555326"
"X149","0.04554444"
"X150","0.04556877"
"X151","0.04570048"
"X152","0.04577033"
"X153","0.04556466"
"X154","0.04567137"
"X155","0.04568807"
"X156","0.04582058"
"X157","0.04585308"
"X158","0.04586889"
"X159","0.04590772"
"X160","0.04590772"
"X161","0.04590004"
"X162","0.04598605"
"X163","0.04603808"
"X164","0.04603977"
"X165","0.04612484"
"X166","0.04618088"
"X167","0.04618209"
"X168","0.04617135"
"X169","0.04615438"
"X170","0.04615721"
"X171","0.04620306"
"X172","0.04601658"
"X173","0.04628143"
"X174","0.04628894"
"X175","0.04633112"
"X176","0.04636273"
"X177","0.04642974"
"X178","0.04642156"
"X179","0.04653825"
"X180","0.04669549"
"X181","0.04686950"
"X182","0.04682072"
"X183","0.04681770"
"X184","0.04685500"
"X185","0.04634499"
"X186","0.04634499"
"X187","0.04636483"
"X188","0.04636345"
"X189","0.04642765"
"X190","0.04648871"
"X191","0.04648739"
"X192","0.04713205"
"X193","0.04750244"
"X194","0.04772076"
"X195","0.04784663"
"X196","0.04774882"
"X197","0.04772076"
"X198","0.04768517"
"X199","0.04786658"
"X200","0.04761852"
"X201","0.04753391"
"X202","0.04748088"
"X203","0.04749679"
"X204","0.04749804"
"X205","0.04745476"
"X206","0.04745123"
"X207","0.04742272"
"X208","0.04730310"
"X209","0.04730431"
"X210","0.04730431"
"X211","0.04730789"
"X212","0.04736195"
"X213","0.04741862"
"X214","0.04753831"
"X215","0.04753517"
"X216","0.04753517"
"X217","0.04752762"
"X218","0.04751125"
"X219","0.04758127"
"X220","0.04758127"
"X221","0.04773842"
"X222","0.04772195"
"X223","0.04779383"
"X224","0.04779383"
"X225","0.04781705"
"X226","0.04774833"
"X227","0.04773186"
"X228","0.04789907"
"X229","0.04788282"
"X230","0.04788282"
"X231","0.04820909"
"X232","0.04830805"
"X233","0.04831552"
"X234","0.04832642"
"X235","0.048046399"
"X236","0.048576328"
"X237","0.048571545"
"X238","0.049121251"
"X239","0.049111941"
